"WVK_ID","WVK_BEGDAT","BEGAFSTAND","ENDAFSTAND","BEGKM","ENDKM"
93179012,20220501,0,1273,152.666,151.382
93181018,20211101,0,456,12.776,12.32
93185007,20211101,0,522,2.999,3.525
93185008,20211101,0,436,2.999,2.57
93185009,20211101,0,625,2.57,1.943
93186003,20211101,0,725,3.525,4.246
93226001,20211001,0,930,8.845,7.915
93233006,20211001,0,125,44.615,44.492
93233007,20211001,0,37,44.582,44.615
93234012,20200501,0,45,1.327,1.352
93234013,20150301,0,27,1.3,1.327
93234018,20211001,0,539,44.063,44.582
93234021,20150301,0,18,1.352,1.37
94136010,20211001,0,195,24.138,24.331
94137005,20181201,0,13,.225,.213
94174001,20211101,0,750,36.357,35.6
94182014,20211101,0,148,12.069,11.926
94182015,20211101,0,255,12.32,12.069
94184005,20211101,0,251,1.943,1.701
94198001,20090701,0,266,2.134,1.885
94198002,20211101,0,259,2.134,1.885
94225002,20211001,0,384,7.915,7.531
94227001,20211101,0,131,1.329,1.4
94233003,20220201,0,437,44.492,44.075
94233006,20220201,0,47,44.492,44.441
94234004,20220201,0,1205,44.075,42.857
94237007,20211001,0,1877,42.857,40.959
95173001,20211101,0,588,35.6,35.001
95182002,20211101,0,404,11.555,11.157
95182004,20211101,0,51,11.602,11.555
95182005,20211101,0,333,11.926,11.602
95183005,20211101,0,564,1.375,.806
95184005,20211101,0,311,1.701,1.375
95198005,20211101,0,402,1.885,1.48
95225004,20210701,0,1051,7.531,6.474
95227001,20211101,0,686,1.4,2.1
96138013,20150201,0,18,25.757,25.777
96138036,20211001,0,126,25.776,25.902
96138045,20210401,0,976,22.167,23.138
96172001,20211101,0,515,35.001,34.483
96178007,20141101,0,64,150.942,150.878
96179001,20141101,0,370,151.287,150.942
96179002,20141101,0,349,151.287,150.942
96179006,20220501,0,586,151.382,150.798
96179007,20141101,0,58,151.345,151.287
96179008,20211001,0,39,151.382,151.345
96183001,20211101,0,423,11.157,10.744
96183002,20130501,0,71,.813,.743
96197013,20211101,0,580,1.028,.444
96197016,20211101,0,53,1.081,1.028
96197017,20211101,0,135,1.236,1.094
96197018,20211101,0,241,1.48,1.236
96197019,20211101,0,61,1.093,1.154
96197024,20211101,0,128,.958,1.086
96197025,20211101,0,372,11.361,10.988
96197026,20211101,0,16,11.377,11.361
96197030,20211101,0,13,1.081,1.094
96197031,20211101,0,8,1.097,1.105
96197032,20211101,0,13,1.08,1.094
96197033,20211101,0,13,1.072,1.085
96198009,20211101,0,291,11.49,11.203
96239005,20211001,0,787,40.959,40.177
97136004,20210401,0,25,23.185,23.177
97136005,20210401,0,53,23.177,23.138
97136006,20210401,0,505,11.869,12.373
97136008,20210401,0,39,23.457,23.423
97136011,20210801,0,238,23.423,23.185
97136015,20210401,0,409,12.373,12.301
97136018,20210401,0,434,11.869,12.301
97136019,20210801,0,867,12.301,13.163
97137006,20210401,0,22,23.138,23.125
97139014,20211101,0,398,21.471,21.072
97170002,20211101,0,220,33.63,33.4
97172001,20211101,0,843,34.483,33.63
97179007,20220501,0,1080,150.798,149.715
97179008,20220101,0,86,150.878,150.798
97195007,20220401,0,1675,10.019,8.353
97196017,20211101,0,394,10.324,10.724
97196027,20211101,0,12,.442,.444
97196028,20211101,0,30,.424,.442
97196030,20211101,0,271,.423,.16
97197003,20010301,0,212,11.203,10.994
97197006,20220401,0,982,10.988,10.019
97200002,20211101,0,266,12.743,13.013
97200003,20211101,0,1252,12.743,11.49
97201012,20211101,0,1207,13.327,14.548
97223001,20211001,0,808,6.021,5.215
97240004,20211001,0,267,40.177,39.923
98140004,20211101,0,748,21.072,20.362
98170002,20211101,0,31,8.739,8.701
98170003,20211101,0,360,9.101,8.739
